icao24,registration,model,operatorIcao
896174,A6-EWB,777 21HLR,UAE
896175,A6-EWC,777 21HLR,UAE
896176,A6-EWD,777 21HLR,UAE
896177,A6-EWE,777 21HLR,UAE
896178,A6-EWF,777 21HLR,UAE
896179,A6-EWG,777 21HLR,UAE
89617a,A6-EGB,Boeing 777-31H(ER),UAE
89617b,A6-EGC,777-31H(ER),UAE
89617c,A6-EGD,777 31HER,UAE
89617d,A6-EGE,777 31HER,UAE
89617e,A6-EGF,Boeing 777-31H(ER) ,UAE
89617f,A6-EGG,777 31HER,UAE
896180,A6-EEA,A380 861,UAE
896181,A6-EEB,A380 861,UAE
896182,A6-EEC,A380 861,UAE
896183,A6-EED,A380 861,UAE
896184,A6-EEE,A380 861,UAE
896185,A6-EEF,A380 861,UAE
896186,A6-EEG,A380 861,UAE
896187,A6-EEH,A380 861,UAE
896188,A6-EEI,A380 861,UAE
896189,A6-EEJ,A380 861,UAE
89618a,A6-EEK,A380 861,UAE
89618b,A6-EEL,A380 861,UAE
89618c,A6-EEM,A380 861,UAE
89618d,A6-EEN,A380 861,UAE
89618e,A6-EEO,A380 861,UAE
89618f,A6-EEP,A380 861,UAE
896190,A6-EEQ,,UAE
896191,A6-EER,A380 861,UAE
896192,A6-EES,A380 861,UAE
896193,A6-EET,A380 861,UAE
896194,A6-EEU,A380 861,UAE
896195,A6-EEV,A380 861,UAE
896196,A6-EEW,A380 861,UAE
896197,A6-EEX,A380 861,UAE
896198,A6-EEY,A380 861,UAE
896199,A6-EEZ,A380 861,UAE
89619a,A6-EGA,777 31HER,UAE
89619e,A6-EYK,A330 243,ETD
8961a2,A6-EYM,Airbus A330 243,ETD
8961a3,A6-EYN,Airbus A330 243,ETD
8961a4,A6-EYO,A330 243,ETD
8961a5,A6-EYP,Airbus A330 243,ETD
8961a6,A6-EYQ,A330 243,ETD
8961b2,A6-EHE,Airbus A340 642X,ETD
8961b9,A6-EHF,Airbus A340 642X,ETD
8961c1,A6-EIC,A320 232,ETD
8961c2,A6-EIZ,A320 211,ETD
8961d7,A6-EID,A319 132,ETD
8961d8,A6-EIE,A319 132,ETD
8961e6,A6-EYR,Airbus A330 243,ETD
8961e7,A6-EYS,Airbus A330 243,ETD
8961e8,A6-EIF,A320 232,ETD
8961e9,A6-EIG,A320 232,ETD
8961ea,A6-EIH,A320 232,ETD
8961eb,A6-EII,A320 232,ETD
8961ec,A6-EHI,A340 642X,ETD
8961ed,A6-EHJ,Airbus A340 642X,ETD
8961ee,A6-EHK,Airbus A340 642X,ETD
8961ef,A6-EHL,Airbus A340 642X,ETD
896209,A6-EGH,777 31HER,UAE
89620a,A6-EGI,777 31HER,UAE
89620b,A6-EGJ,777 31HER,UAE
89620c,A6-EGK,777 31HER,UAE
89620d,A6-EGL,777-31HER,UAE
89620e,A6-EGM,777 31HER,UAE
89620f,A6-EGN,777 31HER,UAE
896210,A6-EGO,777 31HER,UAE
896211,A6-EGP,777 31HER,UAE
896212,A6-EGQ,777 31HER,UAE
896213,A6-EGR,Boeing 777-31H(ER),UAE
896214,A6-EGS,777 31HER,UAE
896215,A6-EGT,777 31HER,UAE
896216,A6-EGU,777 31HER,UAE
896217,A6-EGV,777 31HER,UAE
896218,A6-EGW,777 31HER,UAE
896219,A6-EGX,777 31HER,UAE
89621a,A6-EGY,777 31HER,UAE
89621b,A6-EGZ,777 31HER,UAE
896228,A6-EFD,Boeing 777 F1H,UAE
896241,A6-EIK,A320 232,ETD
896255,A6-EIJ,A320 232,ETD
89625a,A6-EIL,A320 232,ETD
89625b,A6-EIM,A320 232,ETD
89625c,A6-EIN,A320 232,ETD
896276,A6-ETF,777 3FXER,ETD
89627b,A6-AED,A321 232SL,ETD
896299,A6-AFA,A330 343E,ETD
89629a,A6-DCA,Airbus A330 243F,ETD
89629b,A6-DCB,Airbus A330 243F,ETD
89629c,A6-AFB,A330 343E,ETD
89629d,A6-AFC,A330 343E,ETD
8962e2,A6-AFD,A330 343E,ETD
8962e3,A6-AFE,A330 343E,ETD
8962e4,A6-AFF,A330 343E,ETD
8962e5,A6-ETG,777 3FXER,ETD
8962e6,A6-ETH,777 3FXER,ETD
8962e7,A6-DDA,Boeing 777 FFX,ETD
896302,A6-CJE,ACJ319 115,UAE
896303,A6-ENA,777 31HER,UAE
896304,A6-ENB,777 31HER,UAE
896305,A6-ENC,777 31HER,UAE
896306,A6-END,777 31HER,UAE
896307,A6-ENE,777 31HER,UAE
896308,A6-ENF,777 31HER,UAE
896309,A6-ENG,777 31HER,UAE
89630a,A6-ENH,777 31HER,UAE
89630b,A6-ENI,777 31HER,UAE
89630c,A6-ENJ,777 31HER,UAE
89630d,A6-ENK,777 31HER,UAE
89630e,A6-ENL,777 31HER,UAE
89630f,A6-ENM,777 31HER,UAE
896310,A6-ENN,777 31HER,UAE
896311,A6-ENO,777 31HER,UAE
896312,A6-ENP,777 31HER,UAE
896313,A6-ENQ,777 31HER,UAE
896314,A6-ENR,777 31HER,UAE
896315,A6-ENS,777 31HER,UAE
896316,A6-ENT,777 31HER,UAE
896317,A6-ENU,Boeing 777-31HER,UAE
896318,A6-ENV,777 31HER,UAE
896319,A6-ENW,777 31HER,UAE
89631a,A6-ENX,777 31HER,UAE
89631b,A6-ENY,777 31HER,UAE
89631c,A6-ENZ,777 31HER,UAE
89631d,A6-EFM,777 F1H,UAE
896325,A6-EIO,A320 232,ETD
896326,A6-ETI,777 3FXER,ETD
896327,A6-ETJ,777 3FXER,ETD
896328,A6-ETK,Boeing 777-3FX(ER),ETD
896329,A6-ETL,Boeing 777-3FX(ER),ETD
89633a,A6-EIP,A320 232,ETD
896341,A6-ETM,777 3FXER,ETD
896342,A6-ETN,777 3FXER,ETD
896343,A6-ETO,777 3FXER,ETD
896346,A6-EIR,A320 232,ETD
896347,A6-EIQ,A320 232,ETD
896353,A6-ETP,Boeing 777-3FX(ER),ETD
896354,A6-ETQ,777 3FXER,ETD
896355,A6-ETR,777 3FXER,ETD
896356,A6-DDB,Boeing 777-FFX,ETD
896357,A6-DDC,777 FFX,ETD
896374,A6-DCC,Airbus A330 243F,ETD
89637c,A6-EIS,A320 232SL,ETD
89637d,A6-EIT,A320 232SL,ETD
896385,A6-EYT,Airbus A330 243,ETD
896386,A6-AEA,A321 231SL,ETD
896388,A6-EIU,A320 232SL,ETD
896396,A6-DCD,A330 243F,ETD
896397,A6-EIV,A320 232SL,ETD
896398,A6-EIW,A320 232SL,ETD
896399,A6-EYU,A330 243,ETD
89639a,A6-EOA,A380 861,UAE
89639b,A6-EOB,A380 861,UAE
89639c,A6-EOC,A380 861,UAE
89639d,A6-EOD,A380 861,UAE
89639e,A6-EOE,A380 861,UAE
89639f,A6-EOF,A380 861,UAE
8963a1,A6-EFN,777 F1H,UAE
8963a2,A6-EFO,777 F1H,UAE
8963a3,A6-EFS,777 F1H,UAE
8963a7,A6-JAA,Boeing 777 35RER,ETD
8963a8,A6-JAB,Boeing 777 35RER,ETD
8963a9,A6-EIX,A320 232SL,ETD
8963aa,A6-AEB,A321 231SL,ETD
8963ab,A6-AEC,A321 231SL,ETD
8963cc,A6-ETS,777 3FXER,ETD
8963cd,A6-APA,A380 861,ETD
8963ce,A6-BLA,787 9,ETD
8963cf,A6-BLB,787 9,ETD
8963d0,A6-EPA,777 31HER,UAE
8963d1,A6-EPB,777 31HER,UAE
8963d2,A6-EPC,777 31HER,UAE
8963d3,A6-EPD,777 31HER,UAE
8963d4,A6-EPE,777 31HER,UAE
8963d5,A6-EPF,777 31HER,UAE
8963d6,A6-EPG,777 31HER,UAE
8963d7,A6-EPH,777 31HER,UAE
8963d8,A6-EPI,777 31HER,UAE
8963d9,A6-EPJ,777 31HER,UAE
8963da,A6-EPK,777 31HER,UAE
8963db,A6-EPL,777 31HER,UAE
8963dc,A6-EPM,Boeing 777-31H(ER),UAE
8963dd,A6-EPN,Boeing 777-31H,UAE
8963de,A6-EPO,777 31HER,UAE
8963df,A6-EPP,777 31HER,UAE
8963e0,A6-EPQ,777 300ER,UAE
8963e1,A6-EPR,777-31H,UAE
8963e2,A6-EPS,777 300ER,UAE
8963e3,A6-EPT,777 300ER,UAE
8963e4,A6-EOG,A380 861,UAE
8963e5,A6-EOH,A380 861,UAE
8963e6,A6-EOI,A380 861,UAE
8963e7,A6-EOJ,A380 861,UAE
8963e8,A6-EOK,A380 861,UAE
8963e9,A6-EOL,A380 861,UAE
8963ea,A6-EOM,A380 861,UAE
8963eb,A6-EON,A380 861,UAE
8963ec,A6-EOO,A380 861,UAE
8963ed,A6-EOP,A380 861,UAE
8963ee,A6-EOQ,A380 861,UAE
8963ef,A6-EOR,A380 861,UAE
8963f0,A6-EOS,A380 861,UAE
8963f1,A6-EOT,Airbus A380 861,UAE
8963f2,A6-EOU,A380 861,UAE
8963f3,A6-EOV,A380 861,UAE
8963f4,A6-EOW,A380 861,UAE
8963f5,A6-EOX,A380 861,UAE
8963f6,A6-EOY,A380 861,UAE
8963f7,A6-EOZ,A380 861,UAE
8963f9,A6-EIY,A320 232SL,ETD
896405,A6-APB,A380 861,ETD
896406,A6-APC,A380 861,ETD
896407,A6-APD,A380 861,ETD
896408,A6-BLC,787 9,ETD
896409,A6-BLD,787 9,ETD
89640a,A6-BLE,B787-9,ETD
896414,A6-JAC,Boeing 777 35RER,ETD
896415,A6-JAD,Boeing 777 35RER,ETD
896416,A6-JAE,Boeing 777 35RER,ETD
896429,A6-EJA,A320 232SL,ETD
89642a,A6-AEE,A321 231SL,ETD
89642b,A6-AEF,A321 231SL,ETD
896439,A6-APE,A380 861,ETD
89643d,A6-AEG,A321 231SL,ETD
89643e,A6-AEH,A321 231SL,ETD
89643f,A6-AEI,A321 231SL,ETD
896440,A6-AEJ,A321 231SL,ETD
896441,A6-DDD,777 FFX,ETD
896442,A6-DDE,777 FFX,ETD
89644a,A6-EPU,777 300ER,UAE
89644b,A6-EPV,777 300ER,UAE
89644c,A6-EPW,777-31H(ER),UAE
89644d,A6-EPX,777-31H(ER),UAE
89644e,A6-EPY,777 300ER,UAE
89644f,A6-EPZ,777 300ER,UAE
896450,A6-EQA,777 300ER,UAE
896451,A6-EQB,777 300ER,UAE
896452,A6-EQC,777 300ER,UAE
896453,A6-EQD,777 300ER,UAE
896454,A6-EQE,Boeing 777-31H(ER),UAE
896455,A6-EQF,777-31H(ER),UAE
896456,A6-EUA,A380 861,UAE
896457,A6-EUB,Airbus 380-861,UAE
896458,A6-EUC,A380 861,UAE
896459,A6-EUD,A380 861,UAE
89645a,A6-EUE,A380 861,UAE
89645b,A6-EUF,A380 861,UAE
896461,A6-APF,A380 861,ETD
896462,A6-APG,A380 861,ETD
896463,A6-APH,Airbus A380 861,ETD
896464,A6-BLF,B787-9,ETD
896465,A6-BLG,787-9 Dreamliner,ETD
896471,A6-EUG,A380 861,UAE
896472,A6-EUH,A380 861,UAE
896473,A6-EUI,A380 861,UAE
896474,A6-EUJ,A380 861,UAE
896475,A6-EUK,Airbus A380 861,UAE
896476,A6-EUL,A380 861,UAE
896477,A6-EUM,A380 842,UAE
896478,A6-EUN,A380 842,UAE
896479,A6-EUO,A380 842,UAE
89647a,A6-EUP,A380 842,UAE
89647b,A6-EUQ,A380 842,UAE
89647c,A6-EUR,A380 842,UAE
89647d,A6-EUS,A380 842,UAE
89647e,A6-EUT,A380 842,UAE
89647f,A6-EUU,A380 842,UAE
896480,A6-EUV,A380 842,UAE
896481,A6-EUW,A380 842,UAE
896482,A6-EUX,A380 842,UAE
896483,A6-EUY,A380 842,UAE
896484,A6-EUZ,Airbus A380 842,UAE
896488,A6-BLH,787 9,ETD
896489,A6-BLI,787 9,ETD
89648a,A6-BLJ,787 9,ETD
89649c,A6-DCE,Airbus A330 243F,ETD
89649d,A6-API,A380 861,ETD
89649e,A6-APJ,A380 861,ETD
89649f,A6-EQG,Boeing 777 300ER,UAE
8964a0,A6-EQH,                                                                       Boeing 777-300(ER),UAE
8964a1,A6-EQI,Boeing 777-300(ER),UAE
8964a2,A6-EQJ,777-300(ER),UAE
8964a3,A6-EQK,777-31HER,UAE
8964a4,A6-EQL,B777-300(ER),UAE
8964a5,A6-EQM,Boeing 777-300(ER),UAE
8964a6,A6-EQN,Boeing 777-300(ER),UAE
8964af,A6-EVA,A380 841,UAE
8964b0,A6-EVB,A380 841,UAE
8964b1,A6-EVC,A380 842,UAE
8964b2,A6-EVD,A380 842,UAE
8964b3,A6-EVE,A380-842,UAE
8964b4,A6-EVF,A380-842,UAE
8964b5,A6-EVG,A380-842,UAE
8964b6,A6-EVH,Airbus A380-842,UAE
8964b7,A6-EVI,A380-842,UAE
8964bb,A6-BLK,787 9,ETD
8964bc,A6-BLL,Boeing 787-9 Dreamliner,ETD
8964bd,A6-BLM,787-9 Dreamliner,ETD
8964be,A6-BLN,787 9,ETD
8964bf,A6-BLO,787 9,ETD
8964c0,A6-BLP,B787-9,ETD
8964c1,A6-BLQ,Boeing 787 9,ETD
8964c2,A6-BLR,787-9 Dreamliner,ETD
8964c3,A6-BLS,B787-9,ETD
8964e1,A6-EVJ,A380-842,UAE
8964e2,A6-EVK,A380-842,UAE
8964e3,A6-EVL,A380-842,UAE
8964f9,A6-BLT,787-9 Dreamliner,ETD
8964fa,A6-BLU,B787-9,ETD
8964fb,A6-BLV,B787-9,ETD
8964fd,A6-BMB,787-10 Dreamliner,ETD
8964ff,A6-BMD,787-10 Dreamliner,ETD
89650a,A6-DDF,Boeing 777-F,ETD
896523,A6-EVM,A380-842,UAE
896534,A6-BLW,787-9 Dreamliner,ETD
896535,A6-BLX,787-9 Dreamliner,ETD
896536,A6-BLY,787-9 Dreamliner,ETD
896539,A6-BNB,B787-9,ETD
89655a,A6-EVN,A380-800,UAE
89655b,A6-EVO,A380-842,UAE
89655d,A6-EVQ,A380-842,UAE
89655e,A6-EVR,A380-842,UAE
89655f,A6-EVS,A380-842,UAE
896596,A6-XWA,A350-1041,ETD
896598,A6-XWC,A350-1041,ETD
8965f3,A6-BNE,Boeing 787-9 Dreamliner,ETD
8965f4,A6-BNF,Boeing 787-9 Dreamliner,ETD
8965f5,A6-BNG,Boeing 787-9 Dreamliner,ETD
896614,A6-EFV,Boeing 777-F,UAE
896615,A6-EFW,Boeing 777-F,UAE
896616,A6-EFX,Boeing 777-F,UAE
896617,A6-EFY,Boeing 777-F,UAE
89661e,A6-EXA,Airbus A350-941,UAE
89661f,A6-EXB,Airbus A350-941,UAE
896620,A6-EXC,Airbus A350-941,UAE
896621,A6-EXD,Airbus A350-941,UAE
896622,A6-EXE,Airbus A350-941,UAE
896624,A6-EXG,Airbus A350-941,UAE
896625,A6-EXH,Airbus A350-941,UAE
89662b,A6-ETA,Boeing 777-3FX(ER),ETD
89664c,A6-ETE,Boeing 777-3FX(ER),ETD
896677,A6-AER,Airbus A321-251NX,ETD
896678,A6-AES,Airbus A321-251NX,ETD
896697,A6-AEQ,Airbus A321-251N,ETD
896698,A6-AEP,Airbus A321-251N,ETD
896699,A6-AEO,Airbus A321-251N,ETD
89669a,A6-AEN,Airbus A321-251N,ETD
8966bb,A6-EJB,Airbus A320-251N,ETD
8966c3,A6-BNH,Boeing 787-9 Dreamliner,ETD
8966ce,A6-XWG,Airbus A350-1041,ETD
020118,CN-NMI,A320-214,ABY
02019c,CN-NMS,Airbus A320-214,ABY
02019d,CN-NMT,Airbus A320-214,ABY
706004,9K-AKA,A320 212,KAC
706005,9K-AKB,A320 212,KAC
706006,9K-AKC,A320 212,KAC
706008,9K-ALB,Airbus A310 308,KAC
70600d,9K-AMC,Airbus A300 B4-605R,KAC
70600f,9K-AME,Airbus A300 B4-605R,KAC
706010,9K-ADE,747 469 SCD,KAC
706013,9K-ANA,A340 313,KAC
706015,9K-ANC,A340 313,KAC
706016,9K-AND,A340 313,KAC
706017,9K-AOA,777 269ER,KAC
706018,9K-AOB,Boeing 777 269ER,KAC
706025,9K-AKE,A320 214SL,KAC
706026,9K-AKF,A320 214SL,KAC
706027,9K-AKG,A320 214SL,KAC
706028,9K-AKH,A320 214SL,KAC
706029,9K-AKI,A320 214SL,KAC
70602a,9K-AKJ,A320 214SL,KAC
70602b,9K-AKK,A320 214SL,KAC
70604d,9K-APA,A330 243,KAC
70604e,9K-APB,A330 243,KAC
70604f,9K-APC,A330 243,KAC
706050,9K-APD,A330 243,KAC
706051,9K-APE,A330 243,KAC
706056,9K-AOC,Boeing 777-300(ER),KAC
706057,9K-AOD,Boeing 777-300(ER),KAC
706058,9K-AOE,Boeing 777-300(ER),KAC
706059,9K-AOF,777 300ER,KAC
70605a,9K-AOH,Boeing 777-300(ER),KAC
70605b,9K-AOI,Boeing 777-300(ER),KAC
70605c,9K-AOJ,777 300ER,KAC
70605d,9K-AOK,777 300ER,KAC
70605e,9K-AOL,Boeing 777 300ER,KAC
70605f,9K-AOM,777 300ER,KAC
706067,9K-APG,A330-841,KAC
70606e,9K-AKS,Airbus A320-251N,KAC
70606f,9K-AKT,Airbus A320-251N,KAC
706070,9K-APJ,Airbus A330-941,KAC
706071,9K-APK,Airbus A330-941,KAC
706072,9K-APL,Airbus A330-941,KAC
706074,9K-AQA,Airbus A321-251NX,KAC
894029,A9C-KA,A330 243,GFA
89402a,A9C-KB,A330 243,GFA
89402b,A9C-KC,A330 243,GFA
89402c,A9C-KD,A330 243,GFA
89402d,A9C-KE,A330 243,GFA
89402e,A9C-KF,A330 243,GFA
894059,A9C-AB,A320 214,GFA
89405a,A9C-AC,A320 214,GFA
