icao24,registration,model,operatorIcao
8964da,A6-AOT,A320 214SL,ABY
896512,A6-FMG,737-8 MAX,FDB
89652d,A6-ATA,A321-251NX,ABY
896530,A6-FMJ,737-8 MAX,FDB
896531,A6-FMK,737-8 MAX,FDB
896533,A6-FML,737-8 MAX,FDB
896558,A6-ATB,A321-251NX,ABY
896559,A6-ATC,,ABY
89656c,A6-FMR,737-8 MAX,FDB
896587,A6-ATE,A321-251NX,ABY
8965d7,A6-FKL,Boeing 737 MAX 8,FDB
896603,A6-FKM,Boeing 737 MAX 8,FDB
896604,A6-FKN,Boeing 737 MAX 8,FDB
896605,A6-FKO,Boeing 737 MAX 8,FDB
896606,A6-FKP,Boeing 737 MAX 8,FDB
896607,A6-FKQ,Boeing 737 MAX 8,FDB
896608,A6-FKR,Boeing 737 MAX 8,FDB
896609,A6-FKS,Boeing 737 MAX 8,FDB
89660a,A6-FKT,Boeing 737 MAX 8,FDB
89660b,A6-FQA,Boeing 737 MAX 8,FDB
89660c,A6-FQB,Boeing 737 MAX 8,FDB
89660d,A6-FQC,Boeing 737 MAX 8,FDB
89662e,A6-AUJ,Airbus A320-214,ABY
896633,A6-AUK,Airbus A320-214,ABY
896643,A6-FQE,Boeing 737 MAX 8,FDB
896644,A6-FQF,Boeing 737 MAX 8,FDB
89664b,A6-AQG,Airbus A320-214,ABY
89665b,A6-AQD,Airbus A320-214,ABY
89665d,A6-AQF,Airbus A320-214,ABY
896665,A6-FQH,Boeing 737 MAX 8,FDB
896668,A6-AQH,Airbus A320-214,ABY
89666a,A6-AQJ,Airbus A320-214,ABY
89668b,A6-AQL,Airbus A320-214,ABY
896690,A6-ABM,Airbus A320-214,ABY
8966a3,A6-AQM,Airbus A320-214,ABY
8966ad,A6-AQN,Airbus A320-214,ABY
8966af,A6-AQP,Airbus A320-214,ABY
8966b0,A6-AQQ,Airbus A320-214,ABY
89670a,A6-AUL,Airbus A320-214,ABY
89670b,A6-AUM,Airbus A320-214,ABY
ac3c25,N888GB,CL-600-2B16,GFA
